ReleaseID,BuildVersion,TestCycle,TestCaseID,Area,Feature,Priority,Tester,Owner,Environment,Status,DefectID,Severity,BlockedBy,EvidenceLink,ExecutedAt,Remarks
RLS-001,vNext,Cycle-1,SMK-001,Web Auth,Login redirect to feed,P0,,,,Not Run,,,,,,,
RLS-001,vNext,Cycle-1,SMK-002,Web Feed,Mixed feed load + time order,P0,,,,Not Run,,,,,,,
RLS-001,vNext,Cycle-1,SMK-003,Web Feed,Create discussion realtime,P0,,,,Not Run,,,,,,,
RLS-001,vNext,Cycle-1,SMK-004,Web Feed,Discussion reaction toggle,P0,,,,Not Run,,,,,,,
RLS-001,vNext,Cycle-1,SMK-005,Web Feed,Review comment anon/non-anon + reply,P0,,,,Not Run,,,,,,,
RLS-001,vNext,Cycle-1,SMK-006,Web Feed,Discussion comment reaction route working,P0,,,,Not Run,,,,,,,
RLS-001,vNext,Cycle-1,SMK-007,Entity Detail,Tab-based API loading only,P0,,,,Not Run,,,,,,,
RLS-001,vNext,Cycle-1,SMK-008,Entity Detail,Entity-linked posts attribution in feed,P0,,,,Not Run,,,,,,,
RLS-001,vNext,Cycle-1,SMK-009,Entity Reviews,Single anonymous checkbox for comment+reply,P0,,,,Not Run,,,,,,,
RLS-001,vNext,Cycle-1,SMK-010,Entity Reviews,Comment/reply reaction toggle + highlight,P0,,,,Not Run,,,,,,,
RLS-001,vNext,Cycle-1,SMK-011,API Reviews,Review comment reaction API toggle,P0,,,,Not Run,,,,,,,
RLS-001,vNext,Cycle-1,SMK-012,API Discussions,Discussion comment reaction API toggle,P0,,,,Not Run,,,,,,,
RLS-001,vNext,Cycle-1,SMK-013,Admin Claims,Approve claim and owner unlock,P0,,,,Not Run,,,,,,,
RLS-001,vNext,Cycle-1,SMK-014,Admin Moderation,Review moderation action reflected on web,P0,,,,Not Run,,,,,,,
RLS-001,vNext,Cycle-1,SMK-015,Cross Platform,Mobile/LAN access no CORS error,P0,,,,Not Run,,,,,,,
